State,Participation,EBRW,Math,Total,Year,z_score,Test
Alabama,0.05,593,572,1165,2017,0.42477036033162024,SAT
Alaska,0.38,547,533,1080,2017,-0.5033443130744127,SAT
Arizona,0.3,563,553,1116,2017,-0.1102604513965635,SAT
Arkansas,0.03,614,594,1208,2017,0.8942871951134957,SAT
California,0.53,531,524,1055,2017,-0.7763192170173636,SAT
Colorado,0.11,606,595,1201,2017,0.8178542220094694,SAT
Connecticut,1.0,530,512,1041,2017,-0.9291851632254161,SAT
Delaware,1.0,503,492,996,2017,-1.4205399903227278,SAT
District of Columbia,1.0,482,468,950,2017,-1.9228138135777573,SAT
Florida,0.83,520,497,1017,2017,-1.191241071010649,SAT
Georgia,0.61,535,515,1050,2017,-0.8309141978059538,SAT
Hawaii,0.55,544,541,1085,2017,-0.4487493322858226,SAT
Idaho,0.93,513,493,1005,2017,-1.3222690249032654,SAT
Illinois,0.09,559,556,1115,2017,-0.12117944755428153,SAT
Indiana,0.63,542,532,1074,2017,-0.568858290020721,SAT
Iowa,0.02,641,635,1275,2017,1.625859937680604,SAT
Kansas,0.04,632,628,1260,2017,1.4620749953148335,SAT
Kentucky,0.04,631,616,1247,2017,1.320128045264499,SAT
Louisiana,0.04,611,586,1198,2017,0.7850972335363154,SAT
Maine,0.95,513,499,1012,2017,-1.245836051799239,SAT
Maryland,0.69,536,52,1060,2017,-0.7217242362287735,SAT
Massachusetts,0.76,555,551,1107,2017,-0.20853141681602583,SAT
Michigan,1.0,509,495,1005,2017,-1.3222690249032654,SAT
Minnesota,0.03,644,651,1295,2017,1.8442398608349648,SAT
Mississippi,0.02,634,607,1242,2017,1.2655330644759089,SAT
Missouri,0.03,640,631,1271,2017,1.582183953049732,SAT
Montana,0.1,605,591,1196,2017,0.7632592412208793,SAT
Nebraska,0.03,629,625,1253,2017,1.3856420222108072,SAT
Nevada,0.26,563,553,1116,2017,-0.1102604513965635,SAT
New Hampshire,0.96,532,520,1052,2017,-0.8090762054905177,SAT
New Jersey,0.7,530,526,1056,2017,-0.7654002208596457,SAT
New Mexico,0.11,577,561,1138,2017,0.12995746407323328,SAT
New York,0.67,528,523,1052,2017,-0.8090762054905177,SAT
North Carolina,0.49,546,535,1081,2017,-0.4924253169166947,SAT
North Dakota,0.02,635,621,1256,2017,1.4183990106839615,SAT
Ohio,0.12,578,570,1149,2017,0.25006642180813166,SAT
Oklahoma,0.07,530,517,1047,2017,-0.8636711862791079,SAT
Oregon,0.43,560,548,1108,2017,-0.19761242065830778,SAT
Pennsylvania,0.65,540,531,1071,2017,-0.6016152784938751,SAT
Rhode Island,0.71,539,524,1062,2017,-0.6998862439133374,SAT
South Carolina,0.5,543,521,1064,2017,-0.6780482515979013,SAT
South Dakota,0.03,612,603,1216,2017,0.98163916437524,SAT
Tennessee,0.05,623,604,1228,2017,1.1126671182678565,SAT
Texas,0.62,513,507,1020,2017,-1.158484082537495,SAT
Utah,0.03,624,614,1238,2017,1.2218570798450368,SAT
Vermont,0.6,562,551,1114,2017,-0.13209844371199958,SAT
Virginia,0.65,561,541,1102,2017,-0.263126397604616,SAT
Washington,0.64,541,534,1075,2017,-0.5579392938630029,SAT
West Virginia,0.14,558,528,1086,2017,-0.43783033612810457,SAT
Wisconsin,0.03,642,649,1291,2017,1.8005638762040928,SAT
Wyoming,0.03,626,604,1230,2017,1.1345051105832926,SAT
Alabama,0.06,595,571,1166,2018,0.49320672244987945,SAT
